"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"BARTOSZEWICZ Artur";"BIEJAT Magdalena Agnieszka";"BRAUN Grzegorz Michał";"HOŁOWNIA Szymon Franciszek";"JAKUBIAK Marek";"MACIAK Maciej";"MENTZEN Sławomir Jerzy";"NAWROCKI Karol Tadeusz";"SENYSZYN Joanna";"STANOWSKI Krzysztof Jakub";"TRZASKOWSKI Rafał Kazimierz";"WOCH Marek Marian";"ZANDBERG Adrian Tadeusz"
20100;"bolesławiecki";"dolnośląskie";82;82;64803;65950;23939;40863;17;40880;51;427;17;0;0;0;1;16;40879;16;4;40875;218;48;170;0;40657;166;1371;2790;1692;231;90;6700;11585;374;452;13643;42;1521
20200;"dzierżoniowski";"dolnośląskie";91;91;71092;72535;27431;43661;18;43679;87;331;18;2;0;0;0;16;43675;16;6;43669;251;73;178;0;43418;222;1580;2770;1729;255;70;6064;12960;387;483;15332;29;1537
20300;"głogowski";"dolnośląskie";57;57;62955;63792;21732;41221;12;41233;35;451;11;2;1;0;1;7;41226;7;5;41221;171;49;122;0;41050;181;1562;2240;1924;276;77;5867;12546;352;455;13793;33;1744
20400;"górowski";"dolnośląskie";35;35;24689;25134;10485;14208;8;14216;19;134;8;0;0;0;0;8;14218;8;1;14217;86;29;57;0;14131;58;589;1059;554;113;34;2435;4572;131;133;3900;12;541
20500;"jaworski";"dolnośląskie";47;47;36302;36841;14214;22083;9;22092;46;247;9;0;0;0;0;9;22097;9;3;22094;118;33;85;0;21976;104;809;1554;912;133;43;3246;7266;184;222;6678;26;799
20600;"karkonoski";"dolnośląskie";60;60;49356;48363;19190;30166;9;30175;68;1233;9;0;0;0;0;9;30173;9;1;30172;146;45;101;0;30026;172;1329;1686;1330;212;56;3579;6598;308;336;13235;25;1160
20700;"kamiennogórski";"dolnośląskie";41;41;31032;31309;12275;18757;4;18761;30;259;4;0;0;0;0;4;18761;4;0;18761;94;30;64;0;18667;62;838;1077;812;104;33;2571;5232;171;174;6900;14;679
20800;"kłodzki";"dolnośląskie";151;151;114732;117776;45118;69610;32;69642;138;3188;30;6;0;0;2;22;69633;22;8;69625;312;97;215;0;69313;355;2545;4677;2976;475;130;9006;19451;600;685;26119;65;2229
20900;"legnicki";"dolnośląskie";61;61;40499;41471;14332;26166;3;26169;29;200;3;2;0;0;0;1;26166;1;3;26163;135;44;91;0;26028;128;775;1652;1165;185;67;4480;8406;256;286;7644;22;962
21000;"lubański";"dolnośląskie";50;50;39400;40168;15723;23677;11;23688;37;576;11;0;0;0;0;11;23688;11;3;23685;113;16;97;0;23572;111;938;1285;990;148;49;3305;6593;256;247;8811;14;825
