"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"NAWROCKI Karol Tadeusz";"TRZASKOWSKI Rafał Kazimierz"
20100;"bolesławiecki";"dolnośląskie";82;82;65042;65527;22049;42992;22;43014;71;771;21;1;0;0;0;20;43011;19;1;43010;347;178;169;0;42663;21717;20946
20200;"dzierżoniowski";"dolnośląskie";91;91;71428;71928;24815;46612;19;46631;112;669;18;3;0;0;0;15;46627;15;4;46623;426;219;207;0;46197;22827;23370
20300;"głogowski";"dolnośląskie";57;57;63121;63088;19339;43782;13;43795;47;901;13;0;0;0;0;13;43794;13;1;43793;367;193;174;0;43426;22223;21203
20400;"górowski";"dolnośląskie";35;35;24846;24781;9638;15208;9;15217;28;237;9;0;0;0;0;9;15216;9;1;15215;121;72;49;0;15094;8839;6255
20500;"jaworski";"dolnośląskie";47;47;36390;36460;12546;23843;14;23857;68;447;14;1;0;0;0;13;23857;13;1;23856;207;94;113;0;23649;12902;10747
20600;"karkonoski";"dolnośląskie";60;60;49323;49549;15662;33661;13;33674;91;2318;12;0;0;0;0;12;33672;12;0;33672;287;146;141;0;33385;12516;20869
20700;"kamiennogórski";"dolnośląskie";41;41;31101;31147;10888;20213;5;20218;49;483;5;0;0;0;0;5;20219;5;1;20218;189;107;82;0;20029;9497;10532
20800;"kłodzki";"dolnośląskie";151;151;115114;117682;38830;76282;35;76317;230;4763;35;3;0;0;3;29;76307;29;0;76307;718;367;351;0;75589;35713;39876
20900;"legnicki";"dolnośląskie";61;61;40470;41196;12452;28018;5;28023;42;327;5;0;0;0;0;5;28023;5;1;28022;228;115;113;0;27794;15599;12195
21000;"lubański";"dolnośląskie";50;50;39958;40149;13991;25967;12;25979;61;1080;12;3;0;0;0;9;25974;9;0;25974;217;113;104;0;25757;11886;13871
21100;"lubiński";"dolnośląskie";94;94;76295;76486;21740;54554;21;54575;90;1358;21;0;0;0;0;21;54572;20;2;54570;448;249;199;0;54122;29889;24233
21200;"lwówecki";"dolnośląskie";51;51;33146;33018;12560;20586;0;20586;75;527;0;0;0;0;0;0;20584;0;0;20584;175;83;92;0;20409;9863;10546
21300;"milicki";"dolnośląskie";37;37;27507;27618;9389;18118;0;18118;32;339;0;0;0;0;0;0;18116;0;0;18116;148;74;74;0;17968;9907;8061
21400;"oleśnicki";"dolnośląskie";81;81;79313;80749;24100;55213;15;55228;123;969;15;1;0;0;0;14;55224;14;2;55222;465;243;222;0;54757;25898;28859
21500;"oławski";"dolnośląskie";61;61;56214;57545;14867;41348;14;41362;58;575;14;0;0;0;0;14;41360;14;3;41357;326;185;141;0;41031;20384;20647
21600;"polkowicki";"dolnośląskie";52;52;44609;45065;13798;30809;0;30809;75;611;0;0;0;0;0;0;30809;0;2;30807;260;134;126;0;30547;19085;11462
21700;"strzeliński";"dolnośląskie";50;50;33004;33514;10145;22859;9;22868;68;329;9;0;0;0;0;9;22865;9;1;22864;192;106;86;0;22672;12761;9911
21800;"średzki";"dolnośląskie";59;59;42635;44322;11023;31612;6;31618;44;547;6;0;0;0;0;6;31617;5;0;31617;291;175;116;0;31326;16137;15189
21900;"świdnicki";"dolnośląskie";137;137;112363;113174;35517;76842;29;76871;159;1103;29;2;0;0;0;27;76869;27;4;76865;723;346;377;0;76142;35417;40725
22000;"trzebnicki";"dolnośląskie";110;110;65534;66971;17136;48397;16;48413;94;983;16;1;0;0;0;15;48410;15;6;48404;459;263;196;0;47945;24365;23580
22100;"wałbrzyski";"dolnośląskie";52;52;39777;40172;14118;25659;23;25682;87;702;23;4;0;0;0;19;25677;19;2;25675;274;138;136;0;25401;10668;14733
22200;"wołowski";"dolnośląskie";41;41;35805;35943;11448;24357;12;24369;60;347;10;0;0;0;0;10;24368;10;1;24367;229;116;113;0;24138;12997;11141
22300;"wrocławski";"dolnośląskie";133;133;124480;131387;20801;103677;33;103710;139;2152;33;3;0;0;0;30;103701;29;3;103698;979;547;432;0;102719;41671;61048
22400;"ząbkowicki";"dolnośląskie";84;84;47326;47298;17545;29780;6;29786;86;636;6;0;0;0;0;6;29785;6;0;29785;270;139;131;0;29515;15835;13680
22500;"zgorzelecki";"dolnośląskie";97;97;64665;65433;21849;42813;20;42833;75;1850;20;2;0;0;0;18;42832;18;0;42832;376;208;168;0;42456;21312;21144
22600;"złotoryjski";"dolnośląskie";46;46;31236;31312;11010;20224;0;20224;42;403;0;0;0;0;0;0;20224;0;0;20224;154;74;80;0;20070;10337;9733
26100;"Jelenia Góra";"dolnośląskie";49;49;55869;56433;16371;39497;45;39542;94;1679;44;15;0;0;0;29;39525;29;1;39524;291;139;152;0;39233;13834;25399
26200;"Legnica";"dolnośląskie";50;50;66383;66601;20797;45586;47;45633;61;900;46;10;0;0;0;36;45618;36;4;45614;395;217;178;0;45219;20461;24758
26400;"Wrocław";"dolnośląskie";331;331;473851;510438;72233;401584;350;401934;551;10479;336;22;2;2;0;310;401870;308;55;401815;4366;2427;1939;0;397449;130794;266655
26500;"Wałbrzych";"dolnośląskie";64;64;72617;72421;25431;47185;52;47237;103;1138;50;1;1;1;0;47;47233;46;4;47229;408;209;199;0;46821;17884;28937
40100;"aleksandrowski";"kujawsko-pomorskie";68;68;44240;44950;13420;30821;9;30830;77;3110;9;4;0;0;0;5;30826;5;0;30826;283;151;132;0;30543;16606;13937
40200;"brodnicki";"kujawsko-pomorskie";76;76;56719;57537;19379;37338;18;37356;68;537;18;1;0;0;0;17;37354;17;1;37353;304;170;134;0;37049;21125;15924
40300;"bydgoski";"kujawsko-pomorskie";122;122;91135;93310;23535;67598;28;67626;85;1247;25;0;0;0;0;25;67624;25;1;67623;620;337;283;0;67003;26727;40276
40400;"chełmiński";"kujawsko-pomorskie";53;53;36177;36426;13084;23093;8;23101;57;394;7;0;0;0;0;7;23100;7;1;23099;188;107;81;0;22911;11695;11216
40500;"golubsko-dobrzyński";"kujawsko-pomorskie";42;42;32728;33181;11583;21143;3;21146;53;316;3;0;0;0;0;3;21148;3;0;21148;186;88;98;0;20962;12631;8331
40600;"grudziądzki";"kujawsko-pomorskie";58;58;29228;29690;10786;18450;4;18454;33;226;4;2;0;0;0;2;18454;2;1;18453;141;89;52;0;18312;10681;7631
40700;"inowrocławski";"kujawsko-pomorskie";161;161;115008;114937;39353;75658;34;75692;123;2384;33;1;0;0;0;32;75687;31;4;75683;674;383;291;0;75009;35513;39496
40800;"lipnowski";"kujawsko-pomorskie";84;84;48070;48024;18419;29651;9;29660;88;536;8;0;0;0;0;8;29658;8;0;29658;282;144;138;0;29376;17978;11398
